filepaths,age,gender,race
./data/UTKFace\9_0_0_20170110224404052.jpg.chip.jpg,0,0,0
./data/UTKFace\6_1_3_20170117135341759.jpg.chip.jpg,0,1,3
./data/UTKFace\1_0_0_20161219190824794.jpg.chip.jpg,0,0,0
./data/UTKFace\1_0_2_20161219200015132.jpg.chip.jpg,0,0,2
./data/UTKFace\2_0_0_20170110213143544.jpg.chip.jpg,0,0,0
./data/UTKFace\4_1_0_20170109192825550.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_2_20161219155701277.jpg.chip.jpg,0,0,2
./data/UTKFace\3_0_3_20161219230155056.jpg.chip.jpg,0,0,3
./data/UTKFace\1_0_2_20161219200532811.jpg.chip.jpg,0,0,2
./data/UTKFace\3_1_2_20161219142312449.jpg.chip.jpg,0,1,2
./data/UTKFace\1_0_3_20161219224917304.jpg.chip.jpg,0,0,3
./data/UTKFace\8_1_0_20170109205024714.jpg.chip.jpg,0,1,0
./data/UTKFace\3_0_0_20170110225025587.jpg.chip.jpg,0,0,0
./data/UTKFace\8_0_0_20170110220147098.jpg.chip.jpg,0,0,0
./data/UTKFace\2_1_4_20170103202730376.jpg.chip.jpg,0,1,4
./data/UTKFace\6_1_0_20170109201852729.jpg.chip.jpg,0,1,0
./data/UTKFace\8_1_0_20170117195424950.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_2_20161219222109319.jpg.chip.jpg,0,0,2
./data/UTKFace\5_1_2_20161219193949523.jpg.chip.jpg,0,1,2
./data/UTKFace\6_1_3_20170104222751249.jpg.chip.jpg,0,1,3
./data/UTKFace\2_0_4_20170103202456584.jpg.chip.jpg,0,0,4
./data/UTKFace\3_0_0_20170110212956113.jpg.chip.jpg,0,0,0
./data/UTKFace\7_1_0_20170114025204820.jpg.chip.jpg,0,1,0
./data/UTKFace\4_1_0_20170110213431280.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_2_20161219151217243.jpg.chip.jpg,0,1,2
./data/UTKFace\1_0_2_20161219222602319.jpg.chip.jpg,0,0,2
./data/UTKFace\3_1_1_20170117192731931.jpg.chip.jpg,0,1,1
./data/UTKFace\1_0_2_20161219162431598.jpg.chip.jpg,0,0,2
./data/UTKFace\3_1_0_20170109194247387.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_4_20170103210125060.jpg.chip.jpg,0,0,4
./data/UTKFace\7_0_0_20170110224429257.jpg.chip.jpg,0,0,0
./data/UTKFace\6_1_0_20170109194210604.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_2_20161219161046894.jpg.chip.jpg,0,0,2
./data/UTKFace\5_0_0_20170110213420350.jpg.chip.jpg,0,0,0
./data/UTKFace\1_1_2_20161219205649948.jpg.chip.jpg,0,1,2
./data/UTKFace\8_1_0_20170109202305645.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_4_20170103211018347.jpg.chip.jpg,0,1,4
./data/UTKFace\5_1_0_20170109194001467.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_4_20161221193606310.jpg.chip.jpg,0,0,4
./data/UTKFace\1_1_2_20161219221243095.jpg.chip.jpg,0,1,2
./data/UTKFace\3_1_2_20161219204608087.jpg.chip.jpg,0,1,2
./data/UTKFace\1_0_2_20161219203335428.jpg.chip.jpg,0,0,2
./data/UTKFace\2_1_2_20161219151944003.jpg.chip.jpg,0,1,2
./data/UTKFace\3_0_4_20170103205122074.jpg.chip.jpg,0,0,4
./data/UTKFace\2_1_0_20170109191147581.jpg.chip.jpg,0,1,0
./data/UTKFace\9_0_0_20170110220238481.jpg.chip.jpg,0,0,0
./data/UTKFace\1_0_4_20161221195039712.jpg.chip.jpg,0,0,4
./data/UTKFace\2_0_4_20161221202954025.jpg.chip.jpg,0,0,4
./data/UTKFace\9_0_0_20170110225510191.jpg.chip.jpg,0,0,0
./data/UTKFace\4_1_0_20170109202352144.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_4_20170103212116187.jpg.chip.jpg,0,1,4
./data/UTKFace\2_0_3_20161219225440088.jpg.chip.jpg,0,0,3
./data/UTKFace\1_0_0_20170110212555368.jpg.chip.jpg,0,0,0
./data/UTKFace\6_1_0_20170109201859697.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_0_20170110205339425.jpg.chip.jpg,0,0,0
./data/UTKFace\3_0_0_20170110213048070.jpg.chip.jpg,0,0,0
./data/UTKFace\2_0_2_20161219202644971.jpg.chip.jpg,0,0,2
./data/UTKFace\2_0_2_20161219162357438.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_3_20161219225723376.jpg.chip.jpg,0,0,3
./data/UTKFace\2_1_0_20161219224527744.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_2_20161219155927997.jpg.chip.jpg,0,1,2
./data/UTKFace\5_0_3_20161220221842826.jpg.chip.jpg,0,0,3
./data/UTKFace\5_0_1_20170112191417872.jpg.chip.jpg,0,0,1
./data/UTKFace\1_1_2_20161219200456451.jpg.chip.jpg,0,1,2
./data/UTKFace\1_1_3_20161220143241765.jpg.chip.jpg,0,1,3
./data/UTKFace\2_0_2_20161219212035798.jpg.chip.jpg,0,0,2
./data/UTKFace\2_1_0_20170109191841423.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_2_20161219142446329.jpg.chip.jpg,0,1,2
./data/UTKFace\5_1_2_20161219200132701.jpg.chip.jpg,0,1,2
./data/UTKFace\2_1_0_20161219211737526.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_1_20170113002906252.jpg.chip.jpg,0,1,1
./data/UTKFace\7_1_4_20161223225914300.jpg.chip.jpg,0,1,4
./data/UTKFace\1_1_3_20161220143222430.jpg.chip.jpg,0,1,3
./data/UTKFace\2_1_4_20161221195003500.jpg.chip.jpg,0,1,4
./data/UTKFace\3_0_2_20161219141423672.jpg.chip.jpg,0,0,2
./data/UTKFace\1_1_2_20161219204304845.jpg.chip.jpg,0,1,2
./data/UTKFace\4_0_0_20170110224817102.jpg.chip.jpg,0,0,0
./data/UTKFace\4_1_3_20161220220636202.jpg.chip.jpg,0,1,3
./data/UTKFace\9_1_0_20170109202228755.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_3_20161219225615528.jpg.chip.jpg,0,0,3
./data/UTKFace\2_0_1_20170110205407227.jpg.chip.jpg,0,0,1
./data/UTKFace\1_0_3_20161220220358441.jpg.chip.jpg,0,0,3
./data/UTKFace\3_1_4_20161223231741788.jpg.chip.jpg,0,1,4
./data/UTKFace\2_1_3_20161219225526407.jpg.chip.jpg,0,1,3
./data/UTKFace\4_0_3_20161220221755018.jpg.chip.jpg,0,0,3
./data/UTKFace\4_1_3_20161219225056888.jpg.chip.jpg,0,1,3
./data/UTKFace\1_0_0_20170103210032258.jpg.chip.jpg,0,0,0
./data/UTKFace\3_0_1_20170119145547519.jpg.chip.jpg,0,0,1
./data/UTKFace\4_0_3_20161220222705570.jpg.chip.jpg,0,0,3
./data/UTKFace\2_0_2_20161219142704833.jpg.chip.jpg,0,0,2
./data/UTKFace\1_1_0_20161219212433510.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_4_20161221202222280.jpg.chip.jpg,0,1,4
./data/UTKFace\2_0_4_20161221194951087.jpg.chip.jpg,0,0,4
./data/UTKFace\3_0_0_20170110212719382.jpg.chip.jpg,0,0,0
./data/UTKFace\2_0_0_20170110225218837.jpg.chip.jpg,0,0,0
./data/UTKFace\7_1_4_20170103233309314.jpg.chip.jpg,0,1,4
./data/UTKFace\1_0_2_20161219162626830.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_2_20161219142002631.jpg.chip.jpg,0,0,2
./data/UTKFace\9_0_0_20170110221716630.jpg.chip.jpg,0,0,0
./data/UTKFace\3_1_0_20170110213304238.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_4_20161221202339874.jpg.chip.jpg,0,0,4
./data/UTKFace\1_0_2_20161219140748280.jpg.chip.jpg,0,0,2
./data/UTKFace\8_1_0_20170117175943380.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_4_20161221193041157.jpg.chip.jpg,0,0,4
./data/UTKFace\2_0_2_20161219142335801.jpg.chip.jpg,0,0,2
./data/UTKFace\6_1_3_20161220222916667.jpg.chip.jpg,0,1,3
./data/UTKFace\1_0_3_20161219230541656.jpg.chip.jpg,0,0,3
./data/UTKFace\7_1_0_20170109204556280.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_3_20161220143348598.jpg.chip.jpg,0,1,3
./data/UTKFace\5_0_2_20161219192745531.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_3_20161219224709226.jpg.chip.jpg,0,0,3
./data/UTKFace\1_0_2_20161219200342123.jpg.chip.jpg,0,0,2
./data/UTKFace\2_1_2_20161219203903148.jpg.chip.jpg,0,1,2
./data/UTKFace\4_0_2_20161219194145563.jpg.chip.jpg,0,0,2
./data/UTKFace\3_1_4_20161221201441793.jpg.chip.jpg,0,1,4
./data/UTKFace\6_0_2_20161219190713643.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_1_20170110213111809.jpg.chip.jpg,0,0,1
./data/UTKFace\4_1_3_20161220223107732.jpg.chip.jpg,0,1,3
./data/UTKFace\1_0_3_20161219230651432.jpg.chip.jpg,0,0,3
./data/UTKFace\2_0_3_20161220144721023.jpg.chip.jpg,0,0,3
./data/UTKFace\2_1_2_20161219141042280.jpg.chip.jpg,0,1,2
./data/UTKFace\4_0_2_20170110213515094.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_2_20161219201403764.jpg.chip.jpg,0,0,2
./data/UTKFace\1_1_2_20161219212720270.jpg.chip.jpg,0,1,2
./data/UTKFace\4_0_3_20161220145757599.jpg.chip.jpg,0,0,3
./data/UTKFace\2_1_3_20161219225905168.jpg.chip.jpg,0,1,3
./data/UTKFace\5_1_0_20170109194051532.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_3_20161220220544050.jpg.chip.jpg,0,0,3
./data/UTKFace\1_0_2_20161219204845029.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_3_20161219230351288.jpg.chip.jpg,0,0,3
./data/UTKFace\6_1_2_20161219192319650.jpg.chip.jpg,0,1,2
./data/UTKFace\5_1_0_20170109191949189.jpg.chip.jpg,0,1,0
./data/UTKFace\4_0_2_20161219141410544.jpg.chip.jpg,0,0,2
./data/UTKFace\3_0_2_20161219141016496.jpg.chip.jpg,0,0,2
./data/UTKFace\8_1_2_20161219163616367.jpg.chip.jpg,0,1,2
./data/UTKFace\8_1_0_20170109205416266.jpg.chip.jpg,0,1,0
./data/UTKFace\8_1_0_20170109202804967.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_0_20170109194244035.jpg.chip.jpg,0,1,0
./data/UTKFace\3_1_2_20161219140828120.jpg.chip.jpg,0,1,2
./data/UTKFace\1_1_2_20161219203352244.jpg.chip.jpg,0,1,2
./data/UTKFace\5_0_0_20170110213322127.jpg.chip.jpg,0,0,0
./data/UTKFace\1_0_0_20170110212759695.jpg.chip.jpg,0,0,0
./data/UTKFace\8_0_3_20161220222824203.jpg.chip.jpg,0,0,3
./data/UTKFace\1_1_3_20161220143111349.jpg.chip.jpg,0,1,3
./data/UTKFace\2_0_0_20170104201100490.jpg.chip.jpg,0,0,0
./data/UTKFace\1_1_0_20170109191234378.jpg.chip.jpg,0,1,0
./data/UTKFace\8_1_0_20170109203448247.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_0_20170110213208884.jpg.chip.jpg,0,0,0
./data/UTKFace\4_0_3_20161220220759066.jpg.chip.jpg,0,0,3
./data/UTKFace\1_1_0_20170109193018259.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_0_20170109194452834.jpg.chip.jpg,0,1,0
./data/UTKFace\3_1_0_20170109193021650.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_3_20161219225640200.jpg.chip.jpg,0,1,3
./data/UTKFace\2_0_2_20161219205739724.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_3_20161220220411577.jpg.chip.jpg,0,0,3
./data/UTKFace\1_0_1_20170110213707879.jpg.chip.jpg,0,0,1
./data/UTKFace\9_1_0_20170117180006484.jpg.chip.jpg,0,1,0
./data/UTKFace\5_1_0_20170109193852084.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_0_20170109190843285.jpg.chip.jpg,0,1,0
./data/UTKFace\8_0_0_20170110222913531.jpg.chip.jpg,0,0,0
./data/UTKFace\9_0_1_20170117195501575.jpg.chip.jpg,0,0,1
./data/UTKFace\1_0_2_20161219201442357.jpg.chip.jpg,0,0,2
./data/UTKFace\4_1_0_20170109201102915.jpg.chip.jpg,0,1,0
./data/UTKFace\3_1_4_20161221201429017.jpg.chip.jpg,0,1,4
./data/UTKFace\2_0_2_20161219211913310.jpg.chip.jpg,0,0,2
./data/UTKFace\3_0_0_20170110212807163.jpg.chip.jpg,0,0,0
./data/UTKFace\1_0_0_20170110213043946.jpg.chip.jpg,0,0,0
./data/UTKFace\5_0_2_20161219222736055.jpg.chip.jpg,0,0,2
./data/UTKFace\2_0_2_20161219163415222.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_3_20161219225032897.jpg.chip.jpg,0,0,3
./data/UTKFace\1_0_3_20161220220154425.jpg.chip.jpg,0,0,3
./data/UTKFace\1_1_0_20170109194413813.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_2_20161219141245497.jpg.chip.jpg,0,0,2
./data/UTKFace\3_1_0_20170109193833863.jpg.chip.jpg,0,1,0
./data/UTKFace\4_0_0_20170110213528845.jpg.chip.jpg,0,0,0
./data/UTKFace\4_1_0_20161220220732418.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_4_20161221201836401.jpg.chip.jpg,0,1,4
./data/UTKFace\2_0_2_20161219152009555.jpg.chip.jpg,0,0,2
./data/UTKFace\1_1_2_20161219154712061.jpg.chip.jpg,0,1,2
./data/UTKFace\1_0_0_20170110212745529.jpg.chip.jpg,0,0,0
./data/UTKFace\1_0_0_20161219204741557.jpg.chip.jpg,0,0,0
./data/UTKFace\2_1_2_20161219151851452.jpg.chip.jpg,0,1,2
./data/UTKFace\3_1_2_20161219155421253.jpg.chip.jpg,0,1,2
./data/UTKFace\8_1_4_20170109202334991.jpg.chip.jpg,0,1,4
./data/UTKFace\3_1_3_20161219225754439.jpg.chip.jpg,0,1,3
./data/UTKFace\2_1_0_20161219154620268.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_4_20170103210101969.jpg.chip.jpg,0,0,4
./data/UTKFace\4_1_2_20161219190751754.jpg.chip.jpg,0,1,2
./data/UTKFace\2_1_2_20161219152910484.jpg.chip.jpg,0,1,2
./data/UTKFace\3_0_2_20161219204644036.jpg.chip.jpg,0,0,2
./data/UTKFace\3_1_0_20170109191823943.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_3_20161219225320176.jpg.chip.jpg,0,1,3
./data/UTKFace\6_1_0_20170103212206588.jpg.chip.jpg,0,1,0
./data/UTKFace\4_1_0_20170109191135825.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_0_20161219154439741.jpg.chip.jpg,0,0,0
./data/UTKFace\1_0_0_20161219200338012.jpg.chip.jpg,0,0,0
./data/UTKFace\5_0_0_20170110213200213.jpg.chip.jpg,0,0,0
./data/UTKFace\4_1_3_20161220220857450.jpg.chip.jpg,0,1,3
./data/UTKFace\1_0_2_20161219140744200.jpg.chip.jpg,0,0,2
./data/UTKFace\3_1_0_20170109193426320.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_3_20161220222013834.jpg.chip.jpg,0,1,3
./data/UTKFace\6_1_4_20161223232234756.jpg.chip.jpg,0,1,4
./data/UTKFace\1_0_2_20161219140525218.jpg.chip.jpg,0,0,2
./data/UTKFace\6_0_2_20161219195226635.jpg.chip.jpg,0,0,2
./data/UTKFace\8_1_0_20170109202257880.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_2_20161219194859803.jpg.chip.jpg,0,0,2
./data/UTKFace\4_0_0_20170110205414483.jpg.chip.jpg,0,0,0
./data/UTKFace\2_1_2_20161219200522795.jpg.chip.jpg,0,1,2
./data/UTKFace\1_0_2_20161219141758721.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_2_20161219142135209.jpg.chip.jpg,0,0,2
./data/UTKFace\9_1_4_20170103200637399.jpg.chip.jpg,0,1,4
./data/UTKFace\1_0_2_20161219201523620.jpg.chip.jpg,0,0,2
./data/UTKFace\3_1_2_20161219212345318.jpg.chip.jpg,0,1,2
./data/UTKFace\1_1_0_20170109192442932.jpg.chip.jpg,0,1,0
./data/UTKFace\3_1_0_20170104005119728.jpg.chip.jpg,0,1,0
./data/UTKFace\4_0_2_20161219200024691.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_2_20161219212516942.jpg.chip.jpg,0,0,2
./data/UTKFace\1_1_3_20161220220126609.jpg.chip.jpg,0,1,3
./data/UTKFace\2_0_3_20161220143229191.jpg.chip.jpg,0,0,3
./data/UTKFace\9_0_3_20170104225726769.jpg.chip.jpg,0,0,3
./data/UTKFace\1_0_2_20161219192733154.jpg.chip.jpg,0,0,2
./data/UTKFace\1_1_2_20170109194007910.jpg.chip.jpg,0,1,2
./data/UTKFace\2_0_2_20161219152914700.jpg.chip.jpg,0,0,2
./data/UTKFace\9_0_0_20170110215520268.jpg.chip.jpg,0,0,0
./data/UTKFace\9_1_4_20170103200814791.jpg.chip.jpg,0,1,4
./data/UTKFace\2_0_3_20161220220702081.jpg.chip.jpg,0,0,3
./data/UTKFace\4_0_1_20170110213311678.jpg.chip.jpg,0,0,1
./data/UTKFace\2_1_2_20161219161934567.jpg.chip.jpg,0,1,2
./data/UTKFace\8_1_0_20170109205008946.jpg.chip.jpg,0,1,0
./data/UTKFace\8_1_4_20170103233220163.jpg.chip.jpg,0,1,4
./data/UTKFace\1_0_2_20161219201319628.jpg.chip.jpg,0,0,2
./data/UTKFace\5_1_2_20170109193543217.jpg.chip.jpg,0,1,2
./data/UTKFace\2_0_0_20170110213022114.jpg.chip.jpg,0,0,0
./data/UTKFace\1_0_2_20161219163930672.jpg.chip.jpg,0,0,2
./data/UTKFace\2_1_2_20161219161912078.jpg.chip.jpg,0,1,2
./data/UTKFace\2_1_3_20161219225917512.jpg.chip.jpg,0,1,3
./data/UTKFace\1_0_4_20161221202848809.jpg.chip.jpg,0,0,4
./data/UTKFace\4_1_3_20170119212114153.jpg.chip.jpg,0,1,3
./data/UTKFace\1_1_0_20170109190935139.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_0_20170109193339281.jpg.chip.jpg,0,1,0
./data/UTKFace\1_1_2_20161219151127243.jpg.chip.jpg,0,1,2
./data/UTKFace\7_0_2_20161219190141683.jpg.chip.jpg,0,0,2
./data/UTKFace\5_1_0_20170109193010080.jpg.chip.jpg,0,1,0
./data/UTKFace\4_1_0_20170109193102653.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_0_20170110213005631.jpg.chip.jpg,0,0,0
./data/UTKFace\9_1_3_20170104222949455.jpg.chip.jpg,0,1,3
./data/UTKFace\4_1_2_20161219141837833.jpg.chip.jpg,0,1,2
./data/UTKFace\7_1_0_20170109193930338.jpg.chip.jpg,0,1,0
./data/UTKFace\4_1_0_20170109193119036.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_3_20161220144846231.jpg.chip.jpg,0,1,3
./data/UTKFace\8_1_3_20161220222610115.jpg.chip.jpg,0,1,3
./data/UTKFace\1_1_0_20170109194146279.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_2_20161219141824081.jpg.chip.jpg,0,0,2
./data/UTKFace\9_0_4_20170110225238472.jpg.chip.jpg,0,0,4
./data/UTKFace\1_0_3_20161219230534953.jpg.chip.jpg,0,0,3
./data/UTKFace\1_1_0_20161219222133615.jpg.chip.jpg,0,1,0
./data/UTKFace\9_0_0_20170110220700428.jpg.chip.jpg,0,0,0
./data/UTKFace\1_1_2_20161219200119571.jpg.chip.jpg,0,1,2
./data/UTKFace\2_1_4_20170103210946139.jpg.chip.jpg,0,1,4
./data/UTKFace\9_0_0_20170110224838965.jpg.chip.jpg,0,0,0
./data/UTKFace\2_0_2_20170110212538628.jpg.chip.jpg,0,0,2
./data/UTKFace\8_0_0_20170110220143955.jpg.chip.jpg,0,0,0
./data/UTKFace\6_0_3_20161220145323231.jpg.chip.jpg,0,0,3
./data/UTKFace\7_1_4_20161221193136085.jpg.chip.jpg,0,1,4
./data/UTKFace\2_1_2_20161219195813835.jpg.chip.jpg,0,1,2
./data/UTKFace\8_1_2_20170109204518758.jpg.chip.jpg,0,1,2
./data/UTKFace\5_0_2_20170110215845491.jpg.chip.jpg,0,0,2
./data/UTKFace\7_1_2_20161219190151899.jpg.chip.jpg,0,1,2
./data/UTKFace\2_0_4_20161221195216736.jpg.chip.jpg,0,0,4
./data/UTKFace\5_1_2_20161219163010238.jpg.chip.jpg,0,1,2
./data/UTKFace\9_0_0_20170110225112927.jpg.chip.jpg,0,0,0
./data/UTKFace\1_1_2_20161219153439021.jpg.chip.jpg,0,1,2
./data/UTKFace\1_1_4_20161221192832972.jpg.chip.jpg,0,1,4
./data/UTKFace\1_1_0_20161219221246503.jpg.chip.jpg,0,1,0
./data/UTKFace\8_1_3_20170104222709156.jpg.chip.jpg,0,1,3
./data/UTKFace\6_0_0_20170110215629811.jpg.chip.jpg,0,0,0
./data/UTKFace\6_1_0_20170109201806817.jpg.chip.jpg,0,1,0
./data/UTKFace\9_0_0_20170110220236260.jpg.chip.jpg,0,0,0
./data/UTKFace\1_1_2_20161219203318222.jpg.chip.jpg,0,1,2
./data/UTKFace\2_0_0_20170110212901886.jpg.chip.jpg,0,0,0
./data/UTKFace\2_0_2_20161219194123523.jpg.chip.jpg,0,0,2
./data/UTKFace\2_0_4_20170103230700225.jpg.chip.jpg,0,0,4
./data/UTKFace\1_0_0_20170110212624891.jpg.chip.jpg,0,0,0
./data/UTKFace\4_0_2_20161219201254277.jpg.chip.jpg,0,0,2
./data/UTKFace\2_0_2_20161219222203111.jpg.chip.jpg,0,0,2
./data/UTKFace\8_1_3_20161220220229729.jpg.chip.jpg,0,1,3
./data/UTKFace\6_0_0_20170117201323444.jpg.chip.jpg,0,0,0
./data/UTKFace\1_0_0_20170110213223460.jpg.chip.jpg,0,0,0
./data/UTKFace\4_1_2_20161219141110241.jpg.chip.jpg,0,1,2
./data/UTKFace\1_1_2_20161219161751262.jpg.chip.jpg,0,1,2
./data/UTKFace\1_0_2_20161219140756601.jpg.chip.jpg,0,0,2
./data/UTKFace\2_1_2_20161219162334438.jpg.chip.jpg,0,1,2
./data/UTKFace\3_0_2_20161219151938084.jpg.chip.jpg,0,0,2
./data/UTKFace\1_0_2_20161219140530307.jpg.chip.jpg,0,0,2
./data/UTKFace\6_1_1_20161220220430595.jpg.chip.jpg,0,1,1
./data/UTKFace\5_0_1_20170117193745507.jpg.chip.jpg,0,0,1
./data/UTKFace\8_1_4_20170104010936352.jpg.chip.jpg,0,1,4
./data/UTKFace\1_1_0_20170109193704430.jpg.chip.jpg,0,1,0
./data/UTKFace\8_1_2_20161219153017828.jpg.chip.jpg,0,1,2
./data/UTKFace\1_1_3_20161220220157201.jpg.chip.jpg,0,1,3
./data/UTKFace\2_0_0_20170110224316546.jpg.chip.jpg,0,0,0
./data/UTKFace\5_1_3_20161220221703978.jpg.chip.jpg,0,1,3
./data/UTKFace\4_1_3_20161219224906705.jpg.chip.jpg,0,1,3
./data/UTKFace\4_0_2_20170110211530774.jpg.chip.jpg,0,0,2
./data/UTKFace\4_1_0_20170109192110040.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_2_20161219195848259.jpg.chip.jpg,0,0,2
./data/UTKFace\1_1_0_20170109191518278.jpg.chip.jpg,0,1,0
./data/UTKFace\2_1_0_20170109191758501.jpg.chip.jpg,0,1,0
./data/UTKFace\2_0_4_20161221202918296.jpg.chip.jpg,0,0,4
./data/UTKFace\2_1_3_20161219230209511.jpg.chip.jpg,0,1,3
./data/UTKFace\2_0_0_20161219163848775.jpg.chip.jpg,0,0,0
./data/UTKFace\8_1_1_20170113000012514.jpg.chip.jpg,0,1,1
./data/UTKFace\4_1_0_20161219154932021.jpg.chip.jpg,0,1,0
./data/UTKFace\1_0_1_20170110213810856.jpg.chip.jpg,0,0,1
./data/UTKFace\3_0_0_20170110205355795.jpg.chip.jpg,0,0,0
./data/UTKFace\2_1_3_20161220221639986.jpg.chip.jpg,0,1,3
./data/UTKFace\7_1_4_20170103230718288.jpg.chip.jpg,0,1,4
./data/UTKFace\4_0_4_20161221193320742.jpg.chip.jpg,0,0,4
./data/UTKFace\1_0_2_20161219190530474.jpg.chip.jpg,0,0,2
./data/UTKFace\2_1_4_20161221202425393.jpg.chip.jpg,0,1,4
./data/UTKFace\2_1_3_20161220145350335.jpg.chip.jpg,0,1,3
./data/UTKFace\3_1_0_20161219204602748.jpg.chip.jpg,0,1,0
./data/UTKFace\7_0_0_20170110225021990.jpg.chip.jpg,0,0,0
./data/UTKFace\7_1_1_20170112210604630.jpg.chip.jpg,0,1,1
./data/UTKFace\1_0_4_20161219195147803.jpg.chip.jpg,0,0,4
./data/UTKFace\4_1_4_20170109191223274.jpg.chip.jpg,0,1,4
